creek_id,AnalyteName,observations,num_stations,obv_ratio,prop_acceptable,score,score_2,min_date,max_datae
MDB,Dissolved Oxygen,33,3,11,0.8484848484848485,Marginal,1,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
MDB,pH,32,3,10.666666666666666,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
MDB,Specific Conductivity,34,3,11.333333333333334,0.058823529411764705,Bad,0,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
MDB,Temperature,34,3,11.333333333333334,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
MOR,Dissolved Oxygen,12,2,6,0.5,Marginal,1,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
MOR,pH,12,2,6,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
MOR,Specific Conductivity,12,2,6,0.5,Marginal,1,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
MOR,Temperature,12,2,6,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
MSH,Dissolved Oxygen,269,6,44.833333333333336,0.8141263940520446,Marginal,1,2018-08-25T00:00:00Z,2025-12-27T00:00:00Z
MSH,pH,273,6,45.5,1,Good,2,2018-08-25T00:00:00Z,2025-12-27T00:00:00Z
MSH,Specific Conductivity,272,6,45.333333333333336,0.08823529411764706,Bad,0,2018-08-25T00:00:00Z,2025-12-27T00:00:00Z
MSH,Temperature,273,6,45.5,1,Good,2,2018-08-25T00:00:00Z,2025-12-27T00:00:00Z
MSH,Turbidity,15,5,3,0.5333333333333333,NA,NA,2021-10-26T00:00:00Z,2022-01-21T00:00:00Z
PIN,Dissolved Oxygen,99,2,49.5,0.8686868686868687,Marginal,1,2020-11-23T00:00:00Z,2025-12-13T00:00:00Z
PIN,pH,95,2,47.5,1,Good,2,2020-11-23T00:00:00Z,2025-12-13T00:00:00Z
PIN,Specific Conductivity,97,2,48.5,0,Bad,0,2020-11-23T00:00:00Z,2025-12-13T00:00:00Z
PIN,Temperature,99,2,49.5,1,Good,2,2020-11-23T00:00:00Z,2025-12-13T00:00:00Z
PIN,Turbidity,91,2,45.5,0.8131868131868132,Marginal,1,2021-09-03T00:00:00Z,2025-12-13T00:00:00Z
SLE,Dissolved Oxygen,16,3,5.333333333333333,0.9375,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
SLE,pH,16,3,5.333333333333333,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
SLE,Specific Conductivity,16,3,5.333333333333333,0,Bad,0,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
SLE,Temperature,16,3,5.333333333333333,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
SPA,Dissolved Oxygen,866,11,78.72727272727273,0.9653579676674365,Good,2,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
SPA,pH,844,11,76.72727272727273,0.9988151658767772,Good,2,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
SPA,Specific Conductivity,855,11,77.72727272727273,0.10994152046783626,Bad,0,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
SPA,Temperature,867,11,78.81818181818181,1,Good,2,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
SPA,Turbidity,663,11,60.27272727272727,0.8883861236802413,Marginal,1,2019-08-20T00:00:00Z,2025-12-12T00:00:00Z
SRA,Dissolved Oxygen,394,6,65.66666666666667,0.9746192893401016,Good,2,2020-02-13T00:00:00Z,2025-12-13T00:00:00Z
SRA,pH,344,6,57.333333333333336,0.9767441860465116,Good,2,2020-02-13T00:00:00Z,2025-12-13T00:00:00Z
SRA,Specific Conductivity,394,6,65.66666666666667,0.048223350253807105,Bad,0,2020-02-13T00:00:00Z,2025-12-13T00:00:00Z
SRA,Temperature,394,6,65.66666666666667,0.9898477157360406,Good,2,2020-02-13T00:00:00Z,2025-12-13T00:00:00Z
SRA,Turbidity,339,6,56.5,0.9174041297935103,Good,2,2020-02-13T00:00:00Z,2025-12-13T00:00:00Z
SUP,Dissolved Oxygen,117,3,39,0.9487179487179487,Good,2,2018-08-17T00:00:00Z,2025-12-12T00:00:00Z
SUP,pH,115,3,38.333333333333336,1,Good,2,2018-08-17T00:00:00Z,2025-12-12T00:00:00Z
SUP,Specific Conductivity,114,3,38,0.02631578947368421,Bad,0,2018-08-17T00:00:00Z,2025-12-12T00:00:00Z
SUP,Temperature,118,3,39.333333333333336,1,Good,2,2018-08-17T00:00:00Z,2025-12-12T00:00:00Z
SUP,Turbidity,102,3,34,0.8529411764705882,Marginal,1,2019-12-12T00:00:00Z,2025-12-12T00:00:00Z
WAL,Dissolved Oxygen,460,8,57.5,0.9434782608695652,Good,2,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
WAL,pH,448,8,56,1,Good,2,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
WAL,Specific Conductivity,454,8,56.75,0.019823788546255508,Bad,0,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
WAL,Temperature,459,8,57.375,0.954248366013072,Good,2,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
WAL,Turbidity,427,8,53.375,0.8665105386416861,Marginal,1,2018-09-14T00:00:00Z,2025-12-13T00:00:00Z
WIL,Dissolved Oxygen,321,12,26.75,0.9688473520249221,Good,2,2018-11-09T00:00:00Z,2025-12-12T00:00:00Z
WIL,pH,325,12,27.083333333333332,1,Good,2,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
WIL,Specific Conductivity,329,12,27.416666666666668,0.19756838905775076,Bad,0,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
WIL,Temperature,330,12,27.5,1,Good,2,2018-08-16T00:00:00Z,2025-12-12T00:00:00Z
WIL,Turbidity,129,4,32.25,0.7751937984496124,Marginal,1,2019-08-20T00:00:00Z,2025-12-12T00:00:00Z
